Months_Inactive_12_mon,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
1,9.3448e-05,0.99991
1,5.6861e-05,0.99994
1,2.1081e-05,0.99998
4,0.00013366,0.99987
1,2.1676e-05,0.99998
1,5.5077e-05,0.99994
1,0.00012303,0.99988
2,8.5795e-05,0.99991
2,4.4796e-05,0.99996
3,0.00030251,0.9997
3,0.00019094,0.99981
2,0.00019751,0.9998
6,4.7799e-05,0.99995
1,9.6126e-05,0.9999
2,0.00011382,0.99989
1,6.3492e-05,0.99994
2,0.00023623,0.99976
4,0.00014953,0.99985
2,0.00017468,0.99983
1,5.5077e-05,0.99994
2,5.703e-05,0.99994
3,0.99616,0.0038363
2,6.9242e-05,0.99993
3,0.00020735,0.99979
2,0.00021042,0.99979
1,5.7151e-05,0.99994
1,5.0256e-05,0.99995
3,0.00018558,0.99981
2,0.00012144,0.99988
0,7.6642e-06,0.99999
2,0.00021834,0.99978
5,0.00012458,0.99988
1,5.7762e-05,0.99994
2,0.00018612,0.99981
2,9.7673e-05,0.9999
2,6.2639e-05,0.99994
2,0.00019864,0.9998
3,0.00035532,0.99964
3,0.00016883,0.99983
4,0.9978,0.00219708
2,0.00011811,0.99988
1,2.2331e-05,0.99998
2,0.00015785,0.99984
2,6.9242e-05,0.99993
3,0.00031726,0.99968
2,0.00020643,0.99979
2,6.0759e-05,0.99994
2,0.0001546,0.99985
3,0.00030516,0.99969
1,3.031e-05,0.99997
3,0.00020516,0.99979
3,0.99028,0.00972
4,0.00018134,0.99982
2,4.6151e-05,0.99995
3,0.99671,0.00329379
4,0.00022797,0.99977
2,4.3568e-05,0.99996
2,0.00019683,0.9998
1,5.6861e-05,0.99994
4,0.00035539,0.99964
2,0.00021834,0.99978
4,0.99823,0.00177065
3,0.00027604,0.99972
4,0.00026824,0.99973
2,0.00011065,0.99989
1,0.00015398,0.99985
3,0.00029411,0.99971
3,0.00031104,0.99969
2,0.00011382,0.99989
2,0.00016471,0.99984
2,0.00020077,0.9998
