CLIENTNUM,概率,高精确
75722,7.955814430550254e-07,False
80185,1.025127196860873e-05,False
19865,7.082883579806397e-07,False
76700,0.999442465062971,True
92992,1.5053660461384896e-06,False
76435,2.6984852943918373e-06,False
84005,0.002931968877998138,False
80918,1.309167148017511e-06,False
60768,3.206975753879075e-07,False
50075,2.3004940939458477e-07,False
27702,1.151964476824354e-05,False
42142,2.398994584466233e-06,False
45081,2.4715857307140346e-07,False
16639,0.0013933568360493518,False
20425,4.1102951497686566e-07,False
88703,1.1039399828858685e-06,False
150,0.00015066540495452656,False
1762,0.8529575510883307,True
63121,1.9996451885506265e-05,False
69162,1.5227592251659294e-07,False
64884,1.7559393527818423e-06,False
2496,9.051243470500642e-06,False
80297,1.9107179490177585e-05,False
19448,2.6694676752164116e-06,False
41332,6.062066165791546e-07,False
14889,4.2551278460544554e-07,False
88637,1.1215043995532958e-06,False
94893,9.79827679478173e-07,False
92732,0.03235293641005051,False
29131,1.5450338827255063e-06,False
79023,1.947939183349694e-07,False
84937,1.084039676640163e-06,False
16822,3.408658884310378e-05,False
36734,0.16813554460329697,False
15603,0.0025037071950201957,False
28534,0.00012619279123996793,False
69770,0.00018691003755489654,False
11406,8.758756468717985e-06,False
96853,1.332664596864002e-06,False
16131,2.433332196791421e-06,False
19793,1.3258465550120627e-06,False
89578,1.8565238448332048e-07,False
40164,1.7981569572711696e-06,False
31777,1.357889440938393e-06,False
25331,1.1767131264499757e-08,False
79157,3.656898323748666e-07,False
51686,0.11038588829939967,False
75499,3.4576346962259144e-05,False
4728,1.7116693382291603e-05,False
85199,3.586725989761957e-06,False
35796,1.2052401116119492e-06,False
12257,1.0531881041530886e-05,False
35719,2.0035539490843235e-05,False
70552,0.021290004869064592,False
54375,8.907492650609217e-08,False
39692,2.1027449530349093e-06,False
93703,1.075574242047879e-06,False
73692,0.01135514973174581,False
98071,3.2025732083385585e-06,False
576,2.430657552437467e-06,False
84611,9.923709466615284e-07,False
61770,1.245005835045233e-06,False
32261,4.591184805204946e-07,False
82200,1.4930421543508763e-05,False
36291,2.7622719380275263e-06,False
78450,1.9860809084408837e-06,False
60056,8.887098237949147e-07,False
45949,6.509175190798823e-06,False
28178,1.0199883484359296e-06,False
84464,6.0408381436461775e-06,False
579,2.9176189400686528e-06,False
30960,1.941460356478901e-06,False
64291,2.4405925883920995e-07,False
14532,0.0003957436732450294,False
17934,2.5108118968912973e-06,False
33609,0.8103074771610792,True
49960,2.1633357535895494e-06,False
66599,7.990152353594089e-07,False
99090,0.0018637172434512303,False
34452,7.275290503618544e-06,False
34081,2.4434201271263203e-05,False
63588,1.1107739798574262e-06,False
4294,2.75515686535844e-07,False
69103,1.580694591215124e-05,False
86412,0.0006436766024418516,False
99477,0.915213330854711,True
53930,0.00012088384992711836,False
87071,8.049935226115159e-07,False
65084,6.346683583771587e-07,False
30713,3.2210162108671465e-06,False
49183,2.0658535443891896e-05,False
57235,3.5689865481257927e-05,False
15664,2.7598161151442158e-06,False
19967,0.015358976259059026,False
91913,1.3551993699855734e-07,False
91958,1.5950197793214217e-06,False
81347,4.457553086926353e-07,False
55326,0.002122192455245909,False
29858,0.0012771904870348067,False
71223,2.839253191533868e-06,False
52459,0.0012528534136991255,False
88346,0.002100041543176951,False
82364,0.00013214358442151556,False
65350,7.687651704427932e-07,False
59650,1.1199040736407998e-06,False
44953,2.121212958919447e-06,False
39526,6.300678894688668e-06,False
13936,2.9084075928468627e-06,False
93781,1.2550631798192302e-05,False
89885,5.9162110526071084e-05,False
81144,4.667388517817547e-06,False
95800,0.00014282595152185758,False
89405,0.0001368621039273386,False
55224,0.0008525012172624087,False
73646,2.6069576342850077e-07,False
66294,1.6479967784678872e-07,False
65540,2.857318964363828e-07,False
28111,1.2092626207941702e-06,False
41929,3.093541976963356e-06,False
86547,3.157327063365703e-07,False
82586,4.9699006145753794e-05,False
38604,2.9403640511362265e-08,False
91658,2.312182066875928e-06,False
62787,0.00563772252546438,False
84341,6.983416131239094e-06,False
39875,0.0002513727202479246,False
78469,2.7982251959388747e-07,False
31632,0.004068999352408051,False
14953,3.3648215952535334e-05,False
39332,9.44299610658219e-06,False
48588,1.0523925396083715e-06,False
83595,1.742683474480243e-05,False
41488,1.5519672633771877e-05,False
39628,1.5034295896052107e-06,False
87895,2.2995729582278868e-05,False
26304,5.5981465548755245e-05,False
67404,2.9702728817546512e-06,False
98085,7.214376183355101e-06,False
95602,0.00047476811319576844,False
5020,3.7017022423557275e-06,False
5224,1.0962344965762602e-06,False
15781,2.0274656243511984e-06,False
45557,0.9001713066146434,True
12897,9.907096832057552e-05,False
34305,6.767464028017317e-07,False
93323,2.1435580327117074e-05,False
5325,4.4300776836151467e-07,False
52926,8.185442507757035e-06,False
62865,7.666813367663016e-06,False
8019,1.2218759013958978e-05,False
82945,9.892413734728695e-06,False
90377,5.765386124993062e-07,False
41721,0.0004779702923437348,False
